"","Team","NPartidos","GolesTot","GolesRival","PG","PP","GG","Ptos","PtosPP","GFPP","GCPP","PorcG","PorcP","CodTeam"
"1","Antofagasta",303,379,417,100,120,26,383,1.26402640264026,1.25082508250825,1.37623762376238,0.33003300330033,0.396039603960396,"ANT"
"2","Audax Italiano",412,607,604,150,148,56,564,1.36893203883495,1.47330097087379,1.46601941747573,0.364077669902913,0.359223300970874,"AUD"
"3","Barnechea",34,29,66,8,22,2,28,0.823529411764706,0.852941176470588,1.94117647058824,0.235294117647059,0.647058823529412,"BAR"
"4","Cobreloa",247,337,348,90,104,32,323,1.30769230769231,1.36437246963563,1.40890688259109,0.364372469635628,0.421052631578947,"COB"
"5","Cobresal",363,463,594,114,167,30,424,1.16804407713499,1.27548209366391,1.63636363636364,0.31404958677686,0.460055096418733,"CSL"
"6","Colo Colo",421,700,503,212,119,108,726,1.72446555819477,1.66270783847981,1.19477434679335,0.503562945368171,0.282660332541568,"CC"
"7","Coquimbo",58,62,73,17,23,2,69,1.18965517241379,1.06896551724138,1.25862068965517,0.293103448275862,0.396551724137931,"COQ"
"8","Curicó",142,165,210,41,59,11,165,1.16197183098592,1.16197183098592,1.47887323943662,0.288732394366197,0.415492957746479,"CUR"
"9","Everton",275,336,376,92,104,28,355,1.29090909090909,1.22181818181818,1.36727272727273,0.334545454545455,0.378181818181818,"EVE"
"10","Huachipato",411,568,590,146,161,50,542,1.31873479318735,1.38199513381995,1.43552311435523,0.355231143552311,0.391727493917275,"HUA"
"11","Iquique",355,462,540,110,140,38,435,1.22535211267606,1.30140845070423,1.52112676056338,0.309859154929577,0.394366197183099,"IQQ"
"12","La Serena",195,272,312,66,81,22,246,1.26153846153846,1.39487179487179,1.6,0.338461538461538,0.415384615384615,"LS"
"13","Melipilla",23,22,41,4,16,0,15,0.652173913043478,0.956521739130435,1.78260869565217,0.173913043478261,0.695652173913043,"MEL"
"14","Ñublense",210,265,348,61,97,13,235,1.11904761904762,1.26190476190476,1.65714285714286,0.29047619047619,0.461904761904762,"ÑUB"
"15","O'Higgins",418,599,553,172,141,63,621,1.48564593301435,1.43301435406699,1.32296650717703,0.411483253588517,0.337320574162679,"OHI"
"16","Osorno",18,19,39,3,14,1,10,0.555555555555556,1.05555555555556,2.16666666666667,0.166666666666667,0.777777777777778,"OSO"
"17","Palestino",410,551,573,152,153,57,561,1.36829268292683,1.34390243902439,1.39756097560976,0.370731707317073,0.373170731707317,"PAL"
"18","Rangers",141,182,206,48,59,14,178,1.26241134751773,1.29078014184397,1.46099290780142,0.340425531914894,0.418439716312057,"RAN"
"19","San Felipe",104,111,146,29,47,9,115,1.10576923076923,1.06730769230769,1.40384615384615,0.278846153846154,0.451923076923077,"SF"
"20","San Luis",139,155,236,33,73,5,132,0.949640287769784,1.11510791366906,1.69784172661871,0.237410071942446,0.525179856115108,"SL"
"21","San Marcos",81,83,110,20,38,3,83,1.02469135802469,1.02469135802469,1.35802469135802,0.246913580246914,0.469135802469136,"SMA"
"22","Santiago Morning",120,176,195,41,52,15,150,1.25,1.46666666666667,1.625,0.341666666666667,0.433333333333333,"SMG"
"23","Temuco",75,77,96,22,32,7,87,1.16,1.02666666666667,1.28,0.293333333333333,0.426666666666667,"TEM"
"24","Union Calera",285,355,370,101,113,39,374,1.31228070175439,1.24561403508772,1.29824561403509,0.354385964912281,0.396491228070175,"ULC"
"25","Unión Española",422,676,583,181,136,80,648,1.53554502369668,1.60189573459716,1.38151658767773,0.428909952606635,0.322274881516588,"UE"
"26","Universidad Catolica",418,781,477,228,95,116,779,1.86363636363636,1.86842105263158,1.14114832535885,0.545454545454545,0.227272727272727,"UC"
"27","Universidad de Chile",427,775,530,209,108,101,737,1.72599531615925,1.81498829039813,1.24121779859485,0.489461358313817,0.252927400468384,"U"
"28","Universidad de Concepcion",385,492,523,132,140,49,509,1.32207792207792,1.27792207792208,1.35844155844156,0.342857142857143,0.363636363636364,"UDC"
"29","Wanderers",300,406,446,101,121,36,381,1.27,1.35333333333333,1.48666666666667,0.336666666666667,0.403333333333333,"SW"
